col_id;age;mom_id;dad_id;gender;is_pregnant;current_mate;territory;position;has_moved;nb_weeks_being_pregnant;week_next_potential_mating
4256415;68;4237332;4224736;0;False;-1;1653;1653;False;0;5
4198044;215;4164519;4135291;1;False;4206472;3743;3743;False;0;10
4241329;106;4218453;4170427;1;False;4243598;6315;6315;False;0;0
4282454;1;4264958;4244588;1;False;-1;2607;2607;False;0;-1
4273196;21;4199113;4254603;1;False;-1;6909;6909;False;0;-1
4270424;31;4233956;4249068;0;False;-1;7817;7817;False;0;-1
4228338;138;4193610;4185847;0;False;-1;5610;5610;False;0;13
4254058;72;4233164;4229004;0;False;-1;1225;1225;False;0;0
4250560;83;4227369;4223024;0;False;-1;5490;5490;False;0;12
4281327;2;4222021;4218516;1;False;-1;9465;9465;False;0;-1
4255515;69;4222284;4196505;0;False;-1;3482;3482;False;0;0
4256978;67;4236948;4226974;0;False;-1;3305;3305;False;0;4
4242582;104;4205145;4160702;1;False;-1;3796;3796;False;0;0
4223182;155;4201924;4186577;0;False;-1;734;734;False;0;3
4256092;68;4222881;4198900;0;False;-1;2847;2847;False;0;2
4260911;55;4239533;4237838;0;False;-1;848;848;False;0;5
4244036;102;4206918;4164120;1;False;4252720;9378;9378;False;0;13
4244649;101;4209824;4203475;0;False;-1;3152;3152;False;0;0
4276763;15;4239667;4242953;1;False;-1;1109;1109;False;0;-1
4272949;22;4242743;4187732;0;False;-1;4554;4554;False;0;-1
4268945;34;4213034;4197618;1;False;-1;1349;1349;False;0;-1
4267935;37;4246898;4248153;1;False;-1;4944;4944;False;0;-1
4281675;2;4263258;4261195;0;False;-1;4893;4893;False;0;-1
4275938;16;4240448;4238939;1;False;-1;6260;6260;False;0;-1
4253485;73;4231148;4190574;0;False;-1;4990;4990;False;0;2
4282510;1;4261696;4217589;0;False;-1;6265;6265;False;0;-1
4249912;84;4212173;4206408;1;True;4246268;7982;7982;False;5;11
4229480;136;4192274;4176923;1;False;4205035;1219;1219;False;0;4
4202371;207;4156046;4121137;0;False;-1;4508;4508;False;0;8
4257754;65;4223512;4190862;0;False;-1;2924;2924;False;0;0
4232459;128;4209312;4213151;1;False;-1;3561;3561;False;0;0
4242614;104;4209943;4188952;0;False;-1;3412;3412;False;0;0
4217770;167;4196427;4144180;1;False;4194399;1052;1052;False;0;0
4266294;44;4219883;4170499;1;True;4204020;3689;3689;False;2;9
4275164;18;4251876;4228959;0;False;-1;7174;7174;False;0;-1
4281684;2;4263943;4210033;1;False;-1;5621;5621;False;0;-1
4230617;134;4209743;4143305;0;False;-1;4284;4284;False;0;3
4246062;97;4220549;4182561;0;False;-1;4672;4672;False;0;0
4268815;34;4224502;4248334;0;False;-1;4338;4338;False;0;-1
4259692;57;4226777;4188064;0;False;-1;4730;4730;False;0;0
4255342;70;4234604;4234603;1;False;4228803;9766;9766;False;0;12
4255826;69;4234436;4184435;1;False;4244904;4331;4331;False;0;4
4278942;9;4255278;4203753;1;False;-1;5484;5484;False;0;-1
4245121;100;4194796;4199659;1;False;4227372;3967;3967;False;0;6
4229709;135;4194181;4150938;0;False;-1;6682;6682;False;0;10
4229629;136;4207382;4151300;1;False;4253245;1350;1350;False;0;6
4241057;106;4192619;4193073;1;False;4231027;7474;7474;False;0;5
4276734;15;4247224;4217922;0;False;-1;6921;6921;False;0;-1
4263736;51;4245555;4236623;0;False;-1;539;539;False;0;6
4280039;5;4261908;4249511;1;False;-1;3514;3514;False;0;-1
4275949;16;4245601;4249155;1;False;-1;7886;7886;False;0;-1
4274771;18;4190518;4238497;1;False;-1;2155;2155;False;0;-1
4273927;20;4253537;4219862;0;False;-1;4613;4613;False;0;-1
4265278;48;4244495;4240532;0;False;-1;9789;9789;False;0;0
4235988;120;4201566;4195207;1;False;4213248;1889;1889;False;0;0
4262594;52;4230687;4211172;1;False;4262595;9811;9811;False;0;4
4243068;104;4222480;4197799;1;False;-1;7816;7816;False;0;5
4279484;6;4244230;4239006;1;False;-1;6261;6261;False;0;-1
4266692;42;4232555;4240617;1;False;-1;9836;9836;False;0;4
4276155;16;4231138;4215313;1;False;-1;1954;1954;False;0;-1
4279145;8;4258930;4245477;0;False;-1;7087;7087;False;0;-1
4269031;34;4224359;4236981;0;False;-1;4217;4217;False;0;-1
4254803;70;4194496;4230736;0;False;-1;6105;6105;False;0;2
4255690;69;4212174;4175385;1;False;4258338;3321;3321;False;0;5
4274721;18;4227128;4249571;1;False;-1;1106;1106;False;0;-1
4279794;5;4230559;4191879;0;False;-1;925;925;False;0;-1
4222614;156;4203618;4201516;1;False;4249889;2807;2807;False;0;0
4261056;55;4243095;4168690;0;False;-1;1342;1342;False;0;3
4273141;21;4229738;4224798;0;False;-1;3693;3693;False;0;-1
4264787;49;4243730;4237756;0;False;-1;5985;5985;False;0;4
4193513;226;4161898;4165773;0;False;-1;4388;4388;False;0;0
4210772;185;4190366;4187432;1;False;4259802;4396;4396;False;0;8
4236647;119;4191297;4173397;1;True;4257593;2328;2328;False;0;15
4279103;8;4232948;4196489;0;False;-1;9866;9866;False;0;-1
4280924;3;4231134;4243944;0;False;-1;6200;6200;False;0;-1
4268443;35;4238218;4245247;1;False;-1;2756;2756;False;0;-1
4280297;4;4238487;4236997;0;False;-1;9548;9548;False;0;-1
4263798;51;4239535;4226637;0;False;-1;4938;4938;False;0;4
4279660;6;4260731;4235009;1;False;-1;5804;5804;False;0;-1
4265277;48;4244495;4240532;1;False;-1;9789;9789;False;0;3
4269812;32;4237275;4240358;0;False;-1;1537;1537;False;0;-1
4269385;33;4225173;4187150;1;False;-1;4772;4772;False;0;-1
4256644;67;4206231;4238122;0;False;-1;5046;5046;False;0;9
4227084;142;4157572;4173546;0;False;-1;6619;6619;False;0;0
4267801;37;4234818;4223511;0;False;-1;2865;2865;False;0;-1
4275813;17;4257302;4253497;1;False;-1;1821;1821;False;0;-1
4230080;135;4210625;4135899;1;False;4259710;4160;4160;False;0;11
4244619;101;4183984;4203425;0;False;-1;1900;1900;False;0;0
4276279;16;4255385;4256054;0;False;-1;1212;1212;False;0;-1
4246202;96;4202320;4192451;1;False;4190875;4555;4555;False;0;4
4261603;54;4243447;4187630;1;False;4201436;2013;2013;False;0;12
4261677;54;4241375;4217518;0;False;-1;5559;5559;False;0;5
4223560;154;4158474;4191520;0;False;-1;7709;7709;False;0;0
4257822;65;4210023;4237509;1;False;4249324;2201;2201;False;0;2
4275903;16;4228924;4257392;0;False;-1;4996;4996;False;0;-1
